position,company,communication skills,problem solving,attention to detail,interpersonal skills,decision making,teamwork,has_2 years,has_3 years,has_4 years,has_5 years,has_10 years,has_1 year,has_bachelor,has_master,has_phd ,has_msc ,has_ba ,has_bsc ,has_b.s ,has_ph.d ,has_b.s.,has_b.a ,has_python,has_sql,has_power bi,has_excel,has_tableau,has_java,has_c++,City,State,machine learning engineer,data scientist,research analyst,data analyst,data engineer,research scientist,has_ r 
"senior associate, data scientist (nlp/ai)",KPMG,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Atlanta, GA,False,True,False,False,False,False,False
"data engineer - gc insights, new ventures",McKinsey & Company,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,Atlanta, GA,False,False,False,False,True,False,False
"technical evangelist – database, analytics, and machine learning",Amazon.com,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Atlanta, GA,False,False,False,False,False,False,False
"sr scientist ii, analytical science",The Coca-Cola Company,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Atlanta, GA,False,False,False,False,False,False,False
director of data science,Prestige Staffing,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,Atlanta, GA,False,False,False,False,False,False,True
hiv research scientist,Eagle Medical Services,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Atlanta, GA,False,False,False,False,False,True,False
si coe iot data modeling architect,Xylem,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,Atlanta, GA,False,False,False,False,False,False,False
research scientist,PreVisor,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Atlanta, GA,False,False,False,False,False,True,False
"azure data scientist, manager",KPMG,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,Atlanta, GA,False,True,False,False,False,False,True
"associate scientist, som",Emory University,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Atlanta, GA,False,False,False,False,False,False,False
"data engineer, scala",CapTech Consulting,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,Atlanta, GA,False,False,False,False,True,False,False
"director, financial services - data scientist",KPMG,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,True,False,True,False,Atlanta, GA,False,True,False,False,False,False,True
"regulatory labeling, advertising and promotion scientist",UCB,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Atlanta, GA,False,False,False,False,False,False,False
data & analytics developer,SunTrust,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,Atlanta, GA,False,False,False,False,False,False,False
product development scientist,The Coca-Cola Company,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Atlanta, GA,False,False,False,False,False,False,False
research scientist i,Georgia State University,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Atlanta, GA,False,False,False,False,False,True,False
"data scientist - senior consultant - orlando, florida",Capgemini,False,False,False,True,False,False,True,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,Atlanta, GA,False,True,False,False,False,False,True
lead r & d engineer/scientist,Honeywell,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,Atlanta, GA,False,False,False,False,False,False,True
quantitative finance analyst,Bank of America,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Atlanta, GA,False,False,False,False,False,False,False
advertiser research analyst,Cox Media Group,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Atlanta, GA,False,False,True,False,False,False,False
"manager, data scientist (ml/nlp) -- financial services",KPMG,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Atlanta, GA,False,True,False,False,False,False,False
data science instructor,General Assembly,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,Atlanta, GA,False,False,False,False,False,False,False
research informatics analyst,Emory University,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Atlanta, GA,False,False,False,False,False,False,False
enterprise data analyst & data engineer,Novelis,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Atlanta, GA,False,False,False,True,True,False,True
supply chain data science consultant,Accenture,False,False,False,True,False,False,False,True,False,True,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,Atlanta, GA,False,False,False,False,False,False,True
public health communications specialist,2M Research Services,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Atlanta, GA,False,False,False,False,False,False,False
communications specialist,Loyal,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Atlanta, GA,False,False,False,False,False,False,False
2018 - health research analyst 2 - new,Northrop Grumman,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Atlanta, GA,False,False,True,False,False,False,True
business intelligence engineer,Amazon.com,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,Atlanta, GA,False,False,False,False,False,False,False
staff research scientist vii: informational interpretation researcher,The Hexagon Lavish,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Atlanta, GA,False,False,False,False,False,True,False
"scientist, asst (ar) school of medicine (som)",Emory University,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Atlanta, GA,False,False,False,False,False,False,False
"entry level geologist, engineer or environmental scientist",Wood,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Atlanta, GA,False,False,False,False,False,False,False
"regulatory labeling, advertising and promotion scientist",UCB S.A.,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Atlanta, GA,False,False,False,False,False,False,False
quantitative analyst,Voya Financial,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,Atlanta, GA,False,False,False,False,False,False,True
"director, data scientist -- financial services/insurance",KPMG,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,Atlanta, GA,False,True,False,False,False,False,True
supervisory epidemiologist,Centers for Disease Control and Prevention,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Atlanta, GA,False,False,False,False,False,False,False
quantitative finance analyst/c++ developer,Bank of America,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,True,Atlanta, GA,False,False,False,False,False,False,True
jr microbiologist - cdc,G2S Corporation,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Atlanta, GA,False,False,False,False,False,False,False
"azure data scientist, senior associate",KPMG,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,Atlanta, GA,False,True,False,False,False,False,True
research analyst,"Epiq Systems, Inc.",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Atlanta, GA,False,False,True,False,False,False,False
coding research analyst,Zelis Healthcare,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Atlanta, GA,False,False,True,False,False,False,False
data science manager- atlanta,Capgemini,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,Atlanta, GA,False,False,False,False,False,False,True
quantitative analyst,Intercontinental Exchange,False,False,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,True,True,Atlanta, GA,False,False,False,False,False,False,True
data visualization software engineer,KPMG,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,Atlanta, GA,False,False,False,False,False,False,False
"business intelligence analyst, people analytics & measurement",McKinsey & Company,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Atlanta, GA,False,False,False,False,False,False,True
mid data scientist - machine learning,Elev8 Hire Solutions,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Atlanta, GA,False,True,False,False,False,False,False
vendor research analyst,Northside Hospital,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,Atlanta, GA,False,False,True,False,False,False,False
big data sw engineer,KPMG,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,Atlanta, GA,False,False,False,False,False,False,False
"senior scientist, content science","Pandora Media, Inc.",True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,Atlanta, GA,False,False,False,False,False,False,False
sponsored research financial analyst,Emory University,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Atlanta, GA,False,False,False,False,False,False,False
supply chain data science manager,Accenture,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,Atlanta, GA,False,False,False,False,False,False,True
director hr data and insights,WestRock,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,Atlanta, GA,False,False,False,False,False,False,False
